operationalRank,priorityCode,wave,countryIso2,countryEn,countryFi,status,dispatchState,sentOn,publicAuthorityReference,responseState,rankingType,isMarketSizeRanking,rationaleEn,rationaleFi,primaryAuthorityEn,primaryAuthorityFi,recordsRequestedEn,recordsRequestedFi,requestChannelEn,requestChannelFi,requestUrl,legalBasisEn,legalBasisFi,languages,localRequester,eligibilityCaveatEn,eligibilityCaveatFi,fallbackAuthorityEn,fallbackAuthorityFi,fallbackUrl,officialSourceUrls,stateUniverseCount,evidenceStackLayerCount,supplementaryRequestCount,supplementarySentRequestCount,supplementaryRequestIds,verificationDate
11,A11,1A,NL,Netherlands,Alankomaat,sent,sent,2026-07-23,,not_publicly_recorded,operational_evidence_acquisition_order,false,"Public EU-CEG product data and the Woo route enable product-stock, reporting-coverage and possible annual-sales requests.","Julkinen EU-CEG-tuotedata ja Woo-reitti mahdollistavat tuotekannan, raportointikattavuuden ja mahdollisen vuosimyynnin pyynnöt.",National Institute for Public Health and the Environment and Ministry of Health,Kansallinen kansanterveys- ja ympäristöinstituutti sekä terveysministeriö,"Active and withdrawn EU-CEG products by category and reporting year | Aggregate annual EU-CEG sales units or millilitres where held | Reporting entities, missingness, revisions and underlying aggregate tables from commissioned official market studies","Aktiiviset ja peruutetut EU-CEG-tuotteet tuoteryhmän ja raportointivuoden mukaan | Aggregoidut vuotuiset EU-CEG-myyntikappaleet tai millilitrat, jos tieto on hallussa | Raportoivat toimijat, puuttuvat tiedot, revisiot ja viranomaisten tilaamien markkinatutkimusten taustalla olevat aggregaattitaulukot",Open Government Act request guidance,Avoimen hallinnon lain pyyntöohje,https://www.rijksoverheid.nl/vraag-en-antwoord/wet-open-overheid-woo/hoe-dien-ik-een-woo-verzoek-in,"Open Government Act (Wet open overheid, Woo)","Avoimen hallinnon laki (Wet open overheid, Woo)",nl | en,not_required,Anyone may submit a Woo request; Dutch wording and a tightly described existing-record request will reduce routing and clarification delays.,Kuka tahansa voi tehdä Woo-pyynnön; hollanninkielinen ja tarkasti olemassa oleviin tietueisiin rajattu pyyntö vähentää siirto- ja täsmennysviiveitä.,RIVM published tobacco and vaping product data,RIVM:n julkaisema tupakka- ja höyrystystuotedata,https://www.rivm.nl/tabak/wat-zit-er-in-producten,https://www.rivm.nl/en/tobacco/information-for-suppliers/submit-product-information,195,6,0,0,,2026-07-24
12,A12,1A,FI,Finland,Suomi,sent,sent,2026-07-22,,registered_processing_notice_received,operational_evidence_acquisition_order,false,A Pixan-family Finnish publication and a statutory annual brand/type sales-reporting duty support a direct official evidence route.,Pixan-perheen Suomen julkaisu ja lakisääteinen vuosittainen merkki- ja tyyppikohtainen myyntiraportointi tukevat suoraa virallista evidenssireittiä.,Finnish Supervisory Agency,Lupa- ja valvontavirasto,"Aggregate annual sales volumes by product type in units and millilitres under section 27 of the Tobacco Act | Reporting-entity and product counts, missing or late submissions, suppressed cells and revisions | A separate Tax Administration extract of excise-declared millilitres, revenue, refunds and exports","Tupakkalain 27 §:n mukaiset aggregoidut vuotuiset myyntimäärät tuotetyypeittäin kappaleina ja millilitroina | Raportoivien toimijoiden ja tuotteiden määrät, puuttuvat tai myöhästyneet ilmoitukset, salatut solut ja revisiot | Verohallinnolta erillinen ote valmisteveroilmoitetuista millilitroista, verotuotosta, palautuksista ja viennistä",Finnish Supervisory Agency registry contact,Lupa- ja valvontaviraston kirjaamo,https://lvv.fi/yhteystiedot/tietopyynnot-ja-tutkimusluvat,Act on the Openness of Government Activities 621/1999,Laki viranomaisten toiminnan julkisuudesta 621/1999,fi | sv | en,not_required,"No nationality or residence condition applies to a public-record request. The national supervisory authority changed in 2026, so route the request to the Finnish Supervisory Agency rather than the former authority.","Julkisuuspyyntöön ei sovelleta kansalaisuus- tai asuinpaikkaehtoa. Kansallinen valvontaviranomainen vaihtui vuonna 2026, joten pyyntö osoitetaan Lupa- ja valvontavirastolle eikä aiemmalle viranomaiselle.",Finnish Tax Administration tobacco excise,Verohallinnon tupakkavero,https://www.vero.fi/yritykset-ja-yhteisot/verot-ja-maksut/valmisteverotus/tupakkavero/,https://www.finlex.fi/en/legislation/translations/2016/eng/549 | https://finlex.fi/en/legislation/collection/2025/717,195,6,0,0,,2026-07-24
13,B1,1B,DK,Denmark,Tanska,sent,sent,2026-07-23,,automated_receipt_acknowledged,operational_evidence_acquisition_order,false,"A Pixan-family Danish publication, mandatory annual EU-CEG sales reporting and downloadable official registries support a strong second-batch route.","Pixan-perheen Tanskan julkaisu, pakollinen EU-CEG-vuosimyyntiraportointi ja ladattavat viranomaisrekisterit tukevat vahvaa toista aaltoa.",Danish Business Authority and Danish Safety Technology Authority,Tanskan yritysvirasto ja turvallisuusteknologiavirasto,"Aggregate annual EU-CEG sales by product category in units and millilitres | Reporting-product and entity counts, late or missing reports, suppressed cells and revisions | Downloadable dated snapshots of product, retailer and distance-sales registries","Aggregoidut vuotuiset EU-CEG-myynnit tuoteryhmittäin kappaleina ja millilitroina | Raportoivien tuotteiden ja toimijoiden määrät, myöhästyneet tai puuttuvat raportit, salatut solut ja revisiot | Ladattavat päivätyt tilannekuvat tuote-, vähittäismyyjä- ja etämyyntirekistereistä",Danish Business Authority access-to-documents contact,Tanskan yritysviraston asiakirjapyyntöyhteys,https://erhvervsstyrelsen.dk/presse-kontakt,Access to Public Administration Files Act (Offentlighedsloven),Hallinnon asiakirjajulkisuuslaki (Offentlighedsloven),da | en,not_required,Any person may request access without a nationality or residence requirement; Danish wording is recommended for authority routing.,Kuka tahansa voi pyytää tietoja ilman kansalaisuus- tai asuinpaikkavaatimusta; tanskankielinen pyyntö on suositeltava viranomaisreititystä varten.,Danish Safety Technology Authority registries,Tanskan turvallisuusteknologiaviraston rekisterit,https://www.sik.dk/en/registre,https://www.sik.dk/en/node/936,195,6,0,0,,2026-07-24
14,B2,1B,JP,Japan,Japani,draft_not_sent,draft_not_sent,,,not_applicable,operational_evidence_acquisition_order,false,"A Pixan-family Japanese publication and detailed official customs data justify an early trade-based route, with nicotine-liquid permissions kept separate.","Pixan-perheen Japanin julkaisu ja yksityiskohtainen virallinen tullidata puoltavat varhaista kauppapohjaista reittiä, jossa nikotiininesteiden luvat pidetään erillään.",Japan Customs and Ministry of Finance,Japanin tulli ja valtiovarainministeriö,"Monthly trade for HS 8543.40 and relevant national nine-digit device and liquid codes by partner, value, quantity and unit | Classification descriptions and time-series breaks, especially before HS 2022 | From the health ministry separately: aggregate counts and recorded quantities of nicotine-liquid import confirmations or permissions","HS 8543.40:n ja asiaankuuluvien kansallisten yhdeksännumeroisten laite- ja nestekoodien kuukausikauppa kumppanin, arvon, määrän ja yksikön mukaan | Luokittelukuvaukset ja aikasarjakatkokset, erityisesti ennen HS 2022:ta | Terveysministeriöltä erikseen nikotiininesteiden tuontivahvistusten tai lupien aggregoidut määrät ja kirjatut volyymit",Ministry of Finance information-disclosure procedure,Valtiovarainministeriön tiedonluovutusmenettely,https://www.mof.go.jp/application-contact/procedure/disclosure_etc/disclosure/index.htm,Act on Access to Information Held by Administrative Organs,Hallintoelinten hallussa olevien tietojen saatavuutta koskeva laki,ja,recommended,"Any person may request disclosure, but filing is in Japanese, generally in writing or by post, and carries an administrative fee; local language support is recommended.","Kuka tahansa voi pyytää tietoja, mutta hakemus tehdään japaniksi, yleensä kirjallisesti tai postitse, ja siitä peritään hallinnollinen maksu; paikallinen kielituki on suositeltava.",Japan Customs Trade Statistics,Japanin tullin kauppatilastot,https://www.customs.go.jp/toukei/srch/indexe.htm,https://www.mhlw.go.jp/jouhou/koukai01/index.html,195,6,0,0,,2026-07-24
15,B3,1B,KR,South Korea,Etelä-Korea,draft_not_sent,draft_not_sent,,,not_applicable,operational_evidence_acquisition_order,false,A Pixan-family Korean publication and detailed HSK10 customs records support a precise device-and-liquid trade route.,Pixan-perheen Korean julkaisu ja yksityiskohtaiset HSK10-tullitiedot tukevat tarkkaa laite- ja nestekaupan reittiä.,Korea Customs Service,Korean tullipalvelu,"Monthly HSK10 trade for 85434010 and every national code expressly covering vaping devices or liquids | Value, quantity, statistical unit, origin or partner, and reported versus estimated flags | Seizures separately, with code definitions and classification changes","HSK10-koodin 85434010 ja kaikkien sähkösavukelaitteita tai -nesteitä nimenomaisesti kattavien kansallisten koodien kuukausikauppa | Arvo, määrä, tilastoyksikkö, alkuperä tai kumppani sekä ilmoitettu- ja arvioitu-merkinnät | Takavarikot erikseen sekä koodimääritelmät ja luokitusmuutokset",Korea Customs Service information-disclosure route,Korean tullipalvelun tiedonluovutusreitti,https://www.customs.go.kr/kcs/cm/cntnts/cntntsView.do?cntntsId=805&mi=3069,Official Information Disclosure Act,Virallisten tietojen julkistamislaki,ko,recommended,The disclosure route proceeds through the Korean open.go.kr system and may require locally usable authentication; Korean-language and local filing support are recommended.,Tiedonluovutusreitti kulkee Korean open.go.kr-järjestelmän kautta ja voi edellyttää paikallisesti käytettävää tunnistautumista; korean kieli ja paikallinen hakutuki ovat suositeltavia.,Korea Customs Service big-data import statistics,Korean tullipalvelun big data -tuontitilastot,https://bigdata.customs.go.kr/web/anaySrvc/selectImpStat.do,https://www.customs.go.kr/kcs/cm/cntnts/cntntsView.do?cntntsId=803&mi=3066,195,6,0,0,,2026-07-24
16,B4,1B,AU,Australia,Australia,sent,sent,2026-07-23,,not_publicly_recorded,operational_evidence_acquisition_order,false,"A Pixan-family Australian publication and a highly regulated lawful supply route allow notifications, lawful imports and illicit seizures to be measured separately.","Pixan-perheen Australian julkaisu ja tarkasti säännelty laillinen toimitusreitti mahdollistavat ilmoitusten, laillisen tuonnin ja laittomien takavarikkojen erillisen mittaamisen.",Therapeutic Goods Administration,Australian lääkevalvontaviranomainen,"Dated notified-vape-list snapshots and counts of products, sponsors and permitted importers | Aggregate notification, import or lawful pharmacy-supply quantities where held | Large-quantity surrender notifications, while keeping enforcement and lawful-market measures separate","Päivätyt notified vape list -tilannekuvat sekä tuotteiden, sponsoreiden ja sallittujen maahantuojien määrät | Aggregoidut ilmoitus-, tuonti- tai laillisen apteekkitoimituksen määrät, jos tieto on hallussa | Suurten määrien luovutusilmoitukset siten, että valvonta ja laillinen markkina pidetään erillään",TGA Freedom of Information route,TGA:n Freedom of Information -reitti,https://www.tga.gov.au/about-tga/freedom-information-foi,Freedom of Information Act 1982,Freedom of Information Act 1982,en,not_required,Any person may make an Australian FOI request without a residence or citizenship condition; commercial-confidentiality exemptions may still limit product-level data.,Kuka tahansa voi tehdä Australian FOI-pyynnön ilman asuinpaikka- tai kansalaisuusehtoa; kaupallisen luottamuksellisuuden poikkeukset voivat silti rajoittaa tuotetason tietoja.,Department of Home Affairs and Australian Border Force FOI,Sisäministeriön ja rajaviranomaisen FOI,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information,https://www.tga.gov.au/products/unapproved-therapeutic-goods/therapeutic-vaping-goods/vaping-hub/notified-vape-list-goods-smoking-cessation-or-nicotine-dependence | https://www.oaic.gov.au/freedom-of-information/freedom-of-information-guidance-for-government-agencies/foi-guidelines/part-3-processing-and-deciding-requests-foi-access,195,6,0,0,,2026-07-24
17,B5,1B,RU,Russia,Venäjä,draft_not_sent,draft_not_sent,,,not_applicable,operational_evidence_acquisition_order,false,"A Pixan-family Russian publication and marking-system data may support unit and value evidence, but sanctions, access and legal-status risks require controlled handling.","Pixan-perheen Venäjän julkaisu ja merkintäjärjestelmän data voivat tukea kappale- ja arvonäyttöä, mutta pakote-, pääsy- ja oikeudelliset riskit edellyttävät hallittua käsittelyä.",Federal Tax Service of Russia,Venäjän liittovaltion veropalvelu,"Aggregate monthly retail withdrawals from the state marking system for nicotine liquids and electronic devices, in units and value | Excise base, excise revenue, filer and marking counts, refunds and exports | Customs imports and seizures separately, with definitions and coverage","Valtion merkintäjärjestelmän aggregoidut kuukausittaiset vähittäismyynnistä poistot nikotiininesteille ja sähkölaitteille kappaleina ja arvona | Valmisteveron peruste, verotuotto, ilmoittajien ja merkintöjen määrät, palautukset ja vienti | Tullituonti ja takavarikot erikseen sekä määritelmät ja kattavuus",Federal Tax Service request route,Liittovaltion veropalvelun pyyntöreitti,https://www.nalog.gov.ru/rn77/apply_fts/obr/,Federal Laws 8-FZ and 59-FZ,Liittovaltion lait 8-FZ ja 59-FZ,ru,conditional,"Electronic filing requires the ESIA system and will likely need local support. Perform sanctions, export-control, legal and payment-channel checks before any contact; this programme does not authorise contact.","Sähköinen hakemus edellyttää ESIA-järjestelmää ja todennäköisesti paikallista tukea. Tee pakote-, vientivalvonta-, oikeudellinen ja maksukanava-arvio ennen yhteydenottoa; tämä ohjelma ei valtuuta yhteydenottoon.",Federal Tax Service excise information,Liittovaltion veropalvelun valmisteverotiedot,https://www.nalog.gov.ru/rn77/taxation/taxes/akciz/,https://www.nalog.gov.ru/rn77/news/tax_doc_news/14947890/,195,6,0,0,,2026-07-24
18,B6,1B,BR,Brazil,Brasilia,draft_not_sent,draft_not_sent,,,not_applicable,operational_evidence_acquisition_order,false,"A Pixan-family Brazilian publication and a national prohibition make enforcement and trade evidence relevant, but they cannot be represented as lawful sales.","Pixan-perheen Brasilian julkaisu ja kansallinen kielto tekevät valvonta- ja kauppanäytöstä merkityksellistä, mutta niitä ei saa esittää laillisena myyntinä.",Brazilian Health Regulatory Agency and Federal Revenue Service,Brasilian terveysvalvontavirasto ja liittovaltion verohallinto,"Monthly seizures and destruction by state or port, units, weight and recorded or estimated value | Enforcement actions and methodology, without protected operational detail | Official NCM trade records where present, explicitly labelled as trade or enforcement rather than lawful domestic sales","Kuukausittaiset takavarikot ja hävitykset osavaltion tai sataman, kappaleiden, painon ja kirjatun tai arvioidun arvon mukaan | Valvontatoimet ja menetelmä ilman suojattuja operatiivisia yksityiskohtia | Viralliset NCM-kauppatiedot, jos niitä on, nimenomaisesti kauppa- tai valvontatietoina eikä laillisena kotimaan myyntinä",Fala.BR access-to-information service,Fala.BR-tietopyyntöpalvelu,https://www.gov.br/pt-br/servicos/registrar-solicitacao-de-acesso-a-informacao-na-plataforma-fala.br,Access to Information Law 12.527/2011,Tiedonsaantilaki 12.527/2011,pt,recommended,"The right is available broadly, but Fala.BR requires Gov.BR authentication. Local filing support is recommended, and prohibition means that seizures or imports must never be treated as lawful retail sales.","Oikeus on laaja, mutta Fala.BR edellyttää Gov.BR-tunnistautumista. Paikallinen hakutuki on suositeltava, eikä kiellon vuoksi takavarikkoja tai tuontia saa koskaan käsitellä laillisena vähittäismyyntinä.","Ministry of Development, Industry, Trade and Services, Comex Stat raw data","Kehitys-, teollisuus-, kauppa- ja palveluministeriön Comex Stat -raakadata",https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-atualiza-regulacao-de-cigarro-eletronico-e-mantem-proibicao,195,6,0,0,,2026-07-24
19,B7,1B,ID,Indonesia,Indonesia,draft_not_sent,draft_not_sent,,,not_applicable,operational_evidence_acquisition_order,false,"The excise system distinguishes several vaping-liquid forms and can support direct physical-volume and revenue evidence, subject to local requester eligibility.",Valmisteverojärjestelmä erottaa useita höyrystysnesteen muotoja ja voi tuottaa suoraa määrä- ja verotuottonäyttöä paikallisen pyytäjäkelpoisuuden rajoissa.,Directorate General of Customs and Excise,Indonesian tulli- ja valmisteverohallinto,"Monthly and annual excise releases for open-system, closed-system and cartridge or pod liquids in millilitres, cartridges or grams as recorded | Excise stamps, manufacturer and importer counts, revenue, refunds and exports | Imports and seizures separately, including nicotine and nicotine-free separation where held","Avoimen järjestelmän, suljetun järjestelmän sekä patruuna- tai podinesteiden kuukausittaiset ja vuosittaiset valmisteverolliset luovutukset kirjattuina millilitroina, patruunoina tai grammoina | Valmisteveromerkit, valmistajien ja maahantuojien määrät, verotuotto, palautukset ja vienti | Tuonti ja takavarikot erikseen sekä nikotiinillisten ja nikotiinittomien erottelu, jos tieto on hallussa",Customs and Excise PPID information service,Tulli- ja valmisteverohallinnon PPID-tietopalvelu,https://www.beacukai.go.id/halaman-utama-ppid,Law 14/2008 on Public Information Disclosure,Laki 14/2008 julkisen tiedon luovuttamisesta,id,required,"A formal PPID requester must be an Indonesian citizen or Indonesian legal entity. Use an eligible local partner and preserve the independent-research, aggregate-only scope.",Muodollisen PPID-pyytäjän on oltava Indonesian kansalainen tai indonesialainen oikeushenkilö. Käytä kelpoista paikallista kumppania ja säilytä riippumattoman tutkimuksen aggregoitu rajaus.,Statistics Indonesia,Indonesian tilastovirasto,https://www.bps.go.id/,https://jdih.kemenkeu.go.id/dok/63-pmk-03-2022/view,195,6,0,0,,2026-07-24
20,B8,1B,PH,Philippines,Filippiinit,draft_not_sent,draft_not_sent,,,not_applicable,operational_evidence_acquisition_order,false,"Excise returns and stamp records can support a direct lawful-market series, while customs records provide a separate enforcement check; citizen eligibility makes this a local-partner route.","Valmisteveroilmoitukset ja veromerkkitiedot voivat tukea suoraa laillisen markkinan sarjaa, ja tullitiedot tarjoavat erillisen valvontatarkistuksen; kansalaisuusrajaus tekee tästä paikallisen kumppanin reitin.",Bureau of Internal Revenue,Filippiinien verovirasto,"Monthly aggregate Form 2200-T excise base, units or millilitres and revenue by vaping-product category | Excise stamps ordered and issued, registered brand and manufacturer counts, refunds and exports | From Customs separately: imports and seizures in units, weight and recorded value","Form 2200-T:n kuukausittainen aggregoitu valmisteveropohja, kappaleet tai millilitrat ja verotuotto höyrystystuoteryhmittäin | Tilatut ja myönnetyt valmisteveromerkit, rekisteröityjen merkkien ja valmistajien määrät, palautukset ja vienti | Tullilta erikseen tuonti ja takavarikot kappaleina, painona ja kirjattuna arvona","Philippine eFOI portal, Bureau of Internal Revenue","Filippiinien eFOI-portaali, verovirasto",https://www.foi.gov.ph/agencies/bir/,"Executive Order No. 2, series of 2016","Toimeenpanomääräys nro 2, vuosi 2016",en | fil,required,The eFOI programme is available to Filipino citizens and requires valid identification. Use an eligible local requester and do not treat that person as a Pixan representative.,eFOI-ohjelma on Filippiinien kansalaisten käytettävissä ja edellyttää voimassa olevaa henkilöllisyystodistusta. Käytä kelpoista paikallista pyytäjää äläkä esitä häntä Pixanin edustajana.,Bureau of Customs eFOI route,Tulliviraston eFOI-reitti,https://www.foi.gov.ph/agencies/boc/,https://www.bir.gov.ph/foi | https://www.foi.gov.ph/faqs/,195,6,0,0,,2026-07-24
