jurisdictionCode,jurisdictionEn,jurisdictionFi,jurisdictionCategory,applicationNumber,publicationNumber,publicationDate,recordType,centralRecordStatusEn,centralRecordStatusFi,currentNationalStatusEn,currentNationalStatusFi,verificationLevel,sourceIds,registerUrl,limitationEn,limitationFi
HU,Hungary,Unkari,validated_ep_publication,EP14836345.0,HUE044158T2,2019-10-28,national_ep_publication,National EP publication recorded in the official EPO family record.,Kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://register.epo.org/application?number=EP14836345&lng=en&tab=legal,"Verify current Hungarian status and whether the amended B2 text has national effect, plus renewals, title and encumbrances.","Unkarin nykyinen tila ja muutetun B2-tekstin kansallinen vaikutus sekä vuosimaksut, omistus ja rasitteet on tarkistettava."
JP,Japan,Japani,national_phase,JP2016515961,JP6078689B2,2017-02-08,national_grant_publication,Grant publication recorded in the official EPO family record.,Myöntöjulkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY,https://register.epo.org/application?number=EP14836345&lng=en&tab=family,"Publication history only; verify official Japanese status, proprietor, annuities, claims and encumbrances.","Vain julkaisuhistoria; Japanin virallinen tila, haltija, vuosimaksut, vaatimukset ja rasitteet on tarkistettava."
KR,South Korea,Etelä-Korea,national_phase,KR20167006686,KR101751495B1,2017-06-27,national_grant_publication,Grant publication recorded in the official EPO family record.,Myöntöjulkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,KIPRIS: registered to Pixan; 10th-year annuity recorded as paid on 26 May 2026.,KIPRIS: rekisteröity Pixanille; 10. vuoden vuosimaksu kirjattu maksetuksi 26.5.2026.,official_national_record,EPO-REGISTER-FAMILY|KIPRIS-REGISTER,https://www.kipris.or.kr/khome/search/searchResult.do,"Search record 1017514950000; remaining term, encumbrances and enforceability still require Korean counsel confirmation.","Hakutietue 1017514950000; jäljellä oleva suoja-aika, rasitteet ja täytäntöönpantavuus vaativat edelleen korealaisen asiantuntijan vahvistuksen."
LT,Lithuania,Liettua,validated_ep_publication,EP14836345.0,LT3032975T,2019-09-25,national_ep_publication,National EP publication recorded in the official EPO family record.,Kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://search.vpb.lt/pdb/patent/eu/dossier/3032975?lang=en,"Verify current Lithuanian status and amended-text effect, renewals, title and encumbrances.","Liettuan nykyinen tila ja muutetun tekstin vaikutus sekä vuosimaksut, omistus ja rasitteet on tarkistettava."
PL,Poland,Puola,validated_ep_publication,EP14836345.0,PL3032975T5,2024-07-29,amended_national_ep_publication,Amended national EP publication recorded in the official EPO family record.,Muutettu kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://ewyszukiwarka.pue.uprp.gov.pl/search/pwp-details/EP14836345?lng=en,"Verify current Polish status, renewals, title, operative claims and encumbrances.","Puolan nykyinen tila, vuosimaksut, omistus, käytettävät vaatimukset ja rasitteet on tarkistettava."
PT,Portugal,Portugali,validated_ep_publication,EP14836345.0,PT3032975T,2019-07-16,national_ep_publication,National EP publication recorded in the official EPO family record.,Kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://servicosonline.inpi.justica.gov.pt/pesquisas/main/patentesdirecto.jsp?lang=en&fpubnumber=EP3032975,"Verify current Portuguese status and amended-text effect, renewals, title and encumbrances.","Portugalin nykyinen tila ja muutetun tekstin vaikutus sekä vuosimaksut, omistus ja rasitteet on tarkistettava."
RS,Serbia,Serbia,validated_ep_publication,EP14836345.0,RS59088B2,2024-08-30,amended_national_ep_publication,Amended national EP publication recorded in the official EPO family record.,Muutettu kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://reg.zis.gov.rs/patreg/?pn=EP3032975,"Verify current Serbian status, renewals, title, operative claims and encumbrances.","Serbian nykyinen tila, vuosimaksut, omistus, käytettävät vaatimukset ja rasitteet on tarkistettava."
RU,Russia,Venäjä,national_phase,PCT/FI2014/050624,RU2600093C1,2016-10-20,national_grant_publication,Grant publication recorded in the official EPO family record.,Myöntöjulkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Rospatent state register: in force; Pixan Oy recorded as proprietor; last status change 2 October 2025.,Rospatentin valtiollinen rekisteri: voimassa; Pixan Oy kirjattu haltijaksi; viimeinen tilamuutos 2.10.2025.,official_national_record,EPO-REGISTER-FAMILY|ROSPATENT-REGISTER,https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2600093&TypeFile=html,"Current register status does not establish sanctions-compliant monetisation, practical enforcement, collectability, claims mapping or value.","Nykyinen rekisteritila ei osoita pakotteiden mukaista kaupallistamista, käytännön täytäntöönpanoa, perittävyyttä, vaatimusvertailua tai arvoa."
SI,Slovenia,Slovenia,validated_ep_publication,EP14836345.0,SI3032975T2,2024-09-30,amended_national_ep_publication,Amended national EP publication recorded in the official EPO family record.,Muutettu kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://www2.uil-sipo.si/ds1.htm?A=107100&Q=PN%3D3032975,"Verify current Slovenian status, renewals, title, operative claims and encumbrances.","Slovenian nykyinen tila, vuosimaksut, omistus, käytettävät vaatimukset ja rasitteet on tarkistettava."
SM,San Marino,San Marino,validated_ep_publication,EP14836345.0,SMT201900382T1,2019-09-09,national_ep_publication,National EP publication recorded in the official EPO family record.,Kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://www.pa.sm/usbm/public/feprs/service/rest/online-register?pn=EP3032975,"Verify current San Marino status and amended-text effect, renewals, title and encumbrances.","San Marinon nykyinen tila ja muutetun tekstin vaikutus sekä vuosimaksut, omistus ja rasitteet on tarkistettava."
US,United States,Yhdysvallat,national_phase,US14/911851,US10306923B2,2019-06-04,national_grant_publication,Grant publication recorded in the official EPO family record.,Myöntöjulkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|USPTO-PATENT-CENTER|USPTO-MAINTENANCE|USPTO-ASSIGNMENT,https://patentcenter.uspto.gov/applications/14911851,Granted publication verified; 7.5-year maintenance payment status remains unverified and the no-surcharge due date is 4 December 2026. Assignments and encumbrances require separate checks.,"Myöntöjulkaisu on vahvistettu; 7,5 vuoden ylläpitomaksun tila on edelleen vahvistamatta ja normaalimaksun eräpäivä on 4.12.2026. Siirrot ja rasitteet vaativat erilliset tarkistukset."
WO,PCT publication,PCT-julkaisu,international_application,PCT/FI2014/050624,WO2015022448A1,2015-02-19,pct_publication,International application publication recorded in the official EPO family record.,Kansainvälinen hakemusjulkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Not a national granted right; protection depends on national or regional phase records.,Ei kansallinen myönnetty oikeus; suoja riippuu kansallisen tai alueellisen vaiheen rekistereistä.,official_family_record,EPO-REGISTER-FAMILY|WIPO-PCT-NATIONAL-PHASE,https://register.epo.org/application?number=EP14836345&lng=en&tab=family,Do not describe the PCT publication as a worldwide patent.,PCT-julkaisua ei saa kuvata maailmanlaajuiseksi patentiksi.
