evidenceId,countries,grade,legacyGrade,claimType,title,coverage,use,sourceUrl,sourceKind,origin
MARNET-017,IT,C,B,official_forecast,Italian parlamentti · budjettiselvityksen taulukko 17,Kuratoitu maapeitto (1): IT.,Virallinen ennuste tai budjettioletus; ei toteutunut myynti tai verokertymä.,https://documenti.camera.it/leg19/dossier/pdf/VQ2750_1.pdf,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-018,ES,B,A,combined_tax_actual,Espanja AEAT · vuoden 2025 toteutunut verokertymä,Kuratoitu maapeitto (1): ES.,Yhdistetyn verokertymän ankkuri; tuoteryhmäjako on varmistettava ennen markkinatulkintaa.,https://sede.agenciatributaria.gob.es/static_files/AEAT/Estudios/Estadisticas/Informes_Estadisticos/Informes_mensuales_recaudacion_tributaria/2025/IMR_25_12_es_es.pdf,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-019,ES,B,A,reporting_schema,Espanja BOE · Modelo 573,Kuratoitu maapeitto (1): ES.,Viranomaisraportoinnin tietorakenne; ei sellaisenaan kansallinen toteumasumma.,https://www.boe.es/eli/es/o/2025/01/13/hac86,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-020,FR,B,A,customs,Ranska Douane · National 2025 import/export,Kuratoitu maapeitto (1): FR.,Rajakaupan tai tullivirran ankkuri; ei yksin osoita kotimaista kuluttajamyyntiä.,https://www.douane.gouv.fr/la-douane/opendata?f%5B0%5D=categorie_opendata_facet%3A458&title=,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-021,FR,B,A,registry,ANSES · vaping-ilmoitusrekisteri,Kuratoitu maapeitto (1): FR.,Tuote- tai ilmoitusrekisterin ankkuri; rekisteririvejä ei tulkita myyntimääräksi.,https://www.data.gouv.fr/en/datasets/produits-du-tabac-et-produits-connexes-declares-sur-le-marche-francais/,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-022,FR,C,A,coverage_audit,ANSES · myyntiraportoinnin kattavuusauditointi,Kuratoitu maapeitto (1): FR.,Raportoinnin kattavuuden tukihavainto; ei itsenäinen markkinamyyntiluku.,https://www.anses.fr/fr/system/files/CONSO2018SA0189Ra-2.pdf,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-023,PL,A,A,official_volume,Puolan MF · ZEFIR2/AIS-valmisteverovirta,Kuratoitu maapeitto (1): PL.,"Virallisen määrähavainnon ankkuri; tarkista yksikkö, vuosi ja veropohja alkuperäislähteestä.",https://api.sejm.gov.pl/sejm/term10/interpellations/attachment/ATTDDEJZ5/i07255-o1.pdf,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-024,PL,A,A,tax_actual,Puolan MF · vuoden 2025 valmisteverototeuma,Kuratoitu maapeitto (1): PL.,Toteutuneen virallisen verotuoton ankkuri; ei yksin osoita vähittäismyyntiä tai tuotemäärää.,https://api.sejm.gov.pl/sejm/term10/interpellations/attachment/ATTDVKHSJ/i17526-o1.pdf,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-025,PL,C,A,enforcement_sample,Puolan KAS · kohdennettu valvonta 2025,Kuratoitu maapeitto (1): PL.,Kohdennetun valvontaotoksen tukihavainto; osumaprosentti ei ole markkinaosuus.,https://www.gov.pl/web/kas/kas-zwalcza-oszustwa-zwiazane-z-rynkiem-e-papierosow,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-026,SE,A,A,official_volume_tax,Ruotsin Finansdepartement · Beräkningskonventioner 2026,Kuratoitu maapeitto (1): SE.,Virallisen määrä- ja verohavainnon ankkuri; pidä määrä ja verotuotto erillisinä mittareina.,https://www.regeringen.se/rapporter/2025/09/berakningskonventioner-2026/,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-027,SE,B,A,tax_rate,Ruotsin Skatteverket · Nikotinskatt,Kuratoitu maapeitto (1): SE.,Veroasteen sääntelyankkuri; ei toteutunut määrä- tai myyntihavainto.,https://www.skatteverket.se/foretagochorganisationer/skatter/punktskatter/nikotinskatt.4.41f1c61d16193087d7fc7fe.html,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-028,SE,B,A,reporting_rule,Ruotsin FHM · vuotuinen EU-CEG-myyntiraportointi,Kuratoitu maapeitto (1): SE.,Raportointivelvoitteen sääntelyankkuri; julkisen toteumatiedon saatavuus tarkistetaan erikseen.,https://www.folkhalsomyndigheten.se/anmal-och-rapportera/anmala-ansoka-rapportera-och-registrera-tobaks-och-nikotinprodukter/anmala-ingredienser-i-e-cigaretter-och-pafyllningsbehallare/,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-029,SE,B,B,customs,Eurostat Comext · Ruotsi 2025,Kuratoitu maapeitto (1): SE.,Rajakaupan tai tullivirran ankkuri; ei yksin osoita kotimaista kuluttajamyyntiä.,https://ec.europa.eu/eurostat/web/international-trade-in-goods/database,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-030,DK,B,A,combined_tax_actual,Tanskan Skatteministeriet · Indtægtsliste 2025,Kuratoitu maapeitto (1): DK.,Yhdistetyn verokertymän ankkuri; tuoteryhmäjako on varmistettava ennen markkinatulkintaa.,https://skm.dk/tal-og-metode/statistik/indtaegtslister/indtaegtsliste-for-2025,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-031,DK,B,A,reporting_registry,Tanskan EU-CEG-vuosiraportointi ja tuoterekisteri,Kuratoitu maapeitto (1): DK.,Viranomaisrekisterin tai raportointikanavan ankkuri; ei sellaisenaan vuosimyyntiä.,https://www.sik.dk/en/node/355,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-032,DK,C,A,enforcement_sample,Tanskan Skattestyrelsen · riskiperusteiset valvonnat,Kuratoitu maapeitto (1): DK.,Kohdennetun valvontaotoksen tukihavainto; osumaprosentti ei ole markkinaosuus.,https://www.ft.dk/samling/20241/almdel/SAU/bilag/220/3018939.pdf,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-033,DK,B,B,customs,Eurostat Comext · Tanska 2025,Kuratoitu maapeitto (1): DK.,Rajakaupan tai tullivirran ankkuri; ei yksin osoita kotimaista kuluttajamyyntiä.,https://ec.europa.eu/eurostat/web/international-trade-in-goods/database,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-034,NL,C,B,model,VWS / Bureau Beke · Donkere wolken,Kuratoitu maapeitto (1): NL.,Mallinnettu markkina-arvio; oletukset ja epävarmuus on pidettävä näkyvissä.,https://www.tweedekamer.nl/downloads/document?id=2026D17119,institutional_model,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-035,NL,C,A,prevalence,CBS StatLine · sähkösavukkeen käyttö 2024,Kuratoitu maapeitto (1): NL.,"Käyttäjäyleisyyden tukihavainto; ei suora myynti-, määrä- tai veromittari.",https://opendata.cbs.nl/statline/#/CBS/nl/dataset/85457NED/table,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-036,NL,C,A,prevalence,Trimbos ScholierenMonitor · 12-16-vuotiaat,Kuratoitu maapeitto (1): NL.,"Käyttäjäyleisyyden tukihavainto; ei suora myynti-, määrä- tai veromittari.",https://cijfers.trimbos.nl/scholierenmonitor/vape-snus-en-waterpijp/cijfers-2023-12-16-jaar-vape-snus-waterpijp/,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-037,NL,B,A,customs,Eurostat Comext · Alankomaat 2025,Kuratoitu maapeitto (1): NL.,Rajakaupan tai tullivirran ankkuri; ei yksin osoita kotimaista kuluttajamyyntiä.,https://ec.europa.eu/eurostat/web/international-trade-in-goods/database,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
